	Elm	Dam	Type	PP	Range	Effect
Thunderbolt	jupiter	110	standard	19	3	\N
Thunderstorm	jupiter	190	standard	39	4	\N
Mist	jupiter	\N	standard	4	2	Inflict 'Delusion'
Shuriken	jupiter	80	multiplicative	8	2	\N
Annihilation	venus	150	multiplicative	18	1	Inflict 'Downed'
Death Plunge	jupiter	40	additive	14	1	Inflict 'Stun'
Death Leap	jupiter	110	additive	22	1	Inflict 'Stun'
Lava Shower	mars	40	standard	4	1	\N
Molten Bath	mars	70	standard	12	2	\N
Magma Storm	mars	120	standard	27	3	\N
Rockfall	venus	30	standard	5	2	\N
Rockslide	venus	90	standard	15	3	\N
Avalanche	venus	160	standard	30	3	\N
Demon Spear	jupiter	\N	standard	7	1	+25% Attack : 50% Max
Angel Spear	jupiter	\N	standard	12	all	+12.5% Attack : 50% Max
Guardian	mars	\N	standard	3	1	+25% Defense : 50% Max
Protector	mars	\N	standard	5	all	+12.5% Defense : 50% Max
Magic Shell	jupiter	\N	standard	3	1	+40 Resistance : 80 Max
Magic Shield	jupiter	\N	standard	5	all	+20 Resistance : 80 Max
Quick Strike	jupiter	180	multiplicative	12	1	\N
Dragon Cloud	mars	80	standard	6	1	\N
Demon Night	venus	60	standard	12	2	Inflict 'Haunt'
Helm Splitter	venus	30	additive	8	1	Inflict 'Downed'
Epicenter	mars	210	standard	33	1	\N
Thorny Grave	venus	170	standard	24	2	Inflict 'Haunt'
Skull Splitter	venus	30	additive	8	1	Inflict 'Downed'
Sabre Dance	venus	150	multiplicative	7	1	\N
Backstab	jupiter	35	additive	16	1	Inflict 'Downed'
Fire Breath	mars	85	diminishing	13	2	\N
Juggle	mars	40	standard	7	2	\N
Heat Juggle	mars	75	standard	13	3	\N
Fiery Juggle	mars	150	standard	25	3	\N
Flame Card	mars	60	standard	11	2	\N
Thunder Card	jupiter	100	standard	17	2	\N
Bramble Card	venus	130	standard	22	2	\N
Frost Card	mercury	175	standard	28	2	\N
Baffle Card	jupiter	\N	standard	4	2	Inflict 'Delusion'
Sword Card	mars	\N	standard	6	1	-25% Attack : 50% Max
Sleep Card	jupiter	\N	standard	5	2	Inflict 'Sleep'
Death Card	venus	\N	standard	8	1	Inflict 'Downed'
Whiplash	jupiter	140	multiplicative	6	1	\N
Wild Wolf	\N	30	additive	3	1	\N
Salamander	mars	45	diminishing	7	2	\N
Emu	jupiter	75	additive	10	1	\N
Roc	\N	140	additive	22	1	\N
Orc	\N	35	additive	3	1	\N
Pixie	mercury	115	curative	5	1	\N
Cerberus	mars	50	diminishing	7	2	\N
Harpy	jupiter	80	additive	10	1	\N
Grand Golem	mars	120	diminishing	17	3	\N
Wyvern	venus	150	additive	22	1	\N
Dinox	venus	40	additive	3	1	\N
Faery	mercury	120	curative	5	1	\N
Chimera	mars	55	diminishing	7	2	\N
Elder Wood	mercury	170	curative	14	all	\N
Gryphon	jupiter	85	additive	10	1	Sometimes Hits for 2x Damage
Lich	venus	\N	standard	10	1	Revive 'Downed' to 100% Max HP
Blue Dragon	mercury	130	diminishing	17	3	\N
Living Armor	venus	130	additive	17	1	\N
Troll	venus	45	additive	3	1	\N
Weird Nymph	mercury	125	curative	5	1	\N
Macetail	mars	60	diminishing	7	2	\N
Estre Wood	mercury	180	curative	14	all	\N
Minotaur	venus	90	additive	10	1	\N
Succubus	mercury	250	curative	9	1	\N
Phoenix	mars	\N	standard	10	1	Revive 'Downed' to 100% Max HP
Fire Dragon	mars	140	diminishing	17	3	\N
Manticore	mars	300	curative	18	all	\N
Ghost Soldier	jupiter	170	additive	22	1	Pierce 50% Defense
Call Zombie	mercury	40	additive	5	1	\N
Call Demon	venus	190	multiplicative	13	1	May do [Target's HP - 1] Dam instd.
Call Dullahan	jupiter	300	multiplicative	21	1	\N
Raging Heat	mars	45	standard	9	3	\N
Fiery Abyss	mars	90	standard	18	3	\N
Dire Inferno	mars	200	standard	32	4	\N
Poison Flow	jupiter	125	standard	28	3	Inflict 'Deadly Poison'
Fire Puppet	venus	\N	standard	7	2	Inflict 'Stun'
